,itemId,color,guarantee,memory,name,price,ram,site
248,4791ef207cb55f80364dd43fec6e250460527edb, Noir , Garantie 1 An, 16 Go , Galaxy A2 Core ,315.0, 1 Go ,jumia
249,ccdf9242c2887933799cf6b35e0e846fda5ff9d2, Noir , Garantie 1 An, 32 Go , Galaxy J8 ,670.0, 3 Go  ,jumia
250,8f574513eee090cde53895923e488de52a68a067, Noir , Garantie 1 an, 16 Go , M9 Pro 4G ,358.0, 2 Go ,jumia
251,af9c33bc69a14d41768a5d2537f663b7708efe0e, Noir , Garantie 1 An, 8 Go , V4 ,189.0, 1 Go ,jumia
252,f9669647ca88ed8cb6ce09ec4c30b89a9ab8c95c, Bleu , Garantie 1 An, 32 Go , Galaxy A20 ,529.0, 3 Go ,jumia
253,fb05a0830735a4f856a37d5fbb0ad83db769c9a5, Noir , Garantie 1 an + Flip Cover, 8Go , L,149.0, 1Go ,jumia
254,a4b24fa6f444c9687f36aec62525e9f1260cb127, Brune ambre , Garantie 1 an, 32 Go , Y5  2019 ,379.0, 2 Go ,jumia
255,0ca4b825a5621fc2e3ef2d10f85722a77e83e25c, Noir , Garantie 1 An, 32 Go , Y5 2019 ,379.0, 2 Go ,jumia
256,ae551653a58baf06769c0c9bc8bdd0ce8afd7bee, Gold , Garantie 1 An, 32 Go , Y5 Prime 2019 ,390.0, 2 Go ,jumia
257,560ae8e671b9e7fff9101ebaab56260baf597553, Gold , Garantie 1 An, 16 Go , M11 Gold  ,439.0,  2 Go ,jumia
258,4bfe17a7c63b73c99212e02aacddf60a146d8837, Brune , Garantie 1 an, 32 Go , Y5  2019 ,379.0, 2 Go ,jumia
259,b3746e67f091ab45157df68b0a048ca670ef5d92, Champagne Gold , Garantie 1 An, 1G Ram , Smart 2 HD+ ,289.0, 16G ,jumia
260,d1acca086f525600b3b5e983f10cc99ff69ae490, Gold , Garantie 1 an, 8 Go , V9 plus ,329.0, 1 Go ,jumia
261,8b30fdc2e68316debf63c3ce90ff9fe8b7d46700, Purple , Garantie 1 An, 128 Go , Nova 3i ,768.0, 4 Go ,jumia
262,e6be84fbba57f35d98460ad782031b5b6f6a9273, Noir , Garantie 1 An, 16 Go , A2 Core ,339.0, 1 Go ,jumia
263,c1f3133522da36d588441c73abcd90f76b59ef8e, Gold , Garantie 1 An, 8 Go , V4+ ,249.0, 1 Go ,jumia
264,fe40eb93e195bf43a080d0847a4d404a517f5264, Rouge , Garantie 1 An, 32 Go , Galaxy J6 Plus ,595.0, 3 Go ,jumia
265,067f00fdfea3f0a116f7d0ced2621593adfc517e, Bleu , Garantie 1 an, 64 Go , Galaxy A30 ,739.0, 4 Go ,jumia
266,49d4ca73016120c65b952c16a07e3d82b09c779a,Iron Gris , Garantie 1 An, 16 Go , Moto E4 Plus ,399.0, 3 Go ,jumia
267,fcd673a4315a92dac48dde4652b4cad44fa4e14d, Aqua Bleu , Garantie 1 An, 1G Ram , Smart 2 HD+ ,289.0, 16G ,jumia
268,c2df30ae746ead907bd10c06cff6d5d92c14b890, Noir, Garantie 1 An, 32 Go , Y5 Prime 2019 ,389.0, 2 Go ,jumia
269,b4483f5a7834d259c12d2b910473e0e4b5508b0b, Noir , Garantie 1 An + Carte mémoire 16 GO classe 10 Platinet, Stockage 8 Go , Vyper ,219.0, RAM 1 Go ,jumia
270,87842e6d01665606a8603909fce0cf77a4afb4ab, Blanc , Garantie 1 An, 4 Go , Z6 Mini ,125.0, 512 Mo ,jumia
271,f8b9827f6f911c3e121f048e86b68e69c1966d0e, Bleu , Garantie 1 An, 16 Go , A2 Core ,349.0, 1 Go ,jumia
272,99afaa7d57de6a8488263188da7ca2036d491ece, Bleu , Garantie 1 An, 16 Go , A2 Core ,339.0, 1 Go  ,jumia
273,45cc865eed229548ff57b3e795cc97b6995badf4, Gold , Garantie 1 an, 8 Go , Smartphone Grand Energy ,285.0, Ram 1 Go ,jumia
274,95893f384b61a974c66c5504b5ae2cdcba36655c, Gold , Garantie 1 an, 8 Go , Kylin 50I ,230.0, 1 Go ,jumia
